Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.33386993408203,49.099998474121094,94.90049743652344,151.8295440673828,54.02115249633789,5.963803291320801,3257.85009765625,72.39407791515757,49.25,94.90049743652344,151.93352453696647,54.11868343971698,5.963803291320801,3258.139892578125,71.09117632272992,46.630001068115234,93.2074966430664,149.66487810348934,53.16289879672732,5.884505079799994,3235.530029296875,71.34404690340438,46.86000061035156,93.75,150.0902475068035,53.494496563366056,5.934967621143992,3244.669921875,135480400,80331100,80580000,22622100,20173200,237536000,3459930000
2020-01-03,71.63063049316406,48.599998474121094,93.74849700927734,149.93898010253906,53.18241500854492,5.868346691131592,3234.85009765625,72.3892495107853,49.38999938964844,94.30999755859375,151.196193090949,53.943141628573514,5.912097802856729,3246.14990234375,71.40665858931894,47.540000915527344,93.2249984741211,149.40963030188232,52.66551393270462,5.8193753167124,3222.340087890625,71.56319785492231,48.029998779296875,93.2249984741211,149.6554101548303,52.821559751095606,5.844233913695736,3226.360107421875,146322800,73127400,75288000,21116200,16815800,205384000,3484700000
2020-01-06,72.20140838623047,48.38999938964844,95.14399719238281,150.3265380859375,52.246131896972656,5.8929572105407715,3246.280029296875,72.23994237629597,48.86000061035156,95.18450164794922,150.39271401985718,52.802045270253814,5.898177473983396,3246.840087890625,70.50354624985978,47.86000061035156,93.0,147.94444966772303,51.846264317587526,5.749026818972195,3214.639892578125,70.75401351048198,48.02000045776367,93.0,148.48326139124163,52.42168388015883,5.775128136185318,3217.550048828125,118387200,47934900,81236000,20813700,18768700,262636000,3702460000
2020-01-07,71.86186218261719,48.25,95.34300231933594,148.95590209960938,56.82998275756836,5.964300632476807,3237.179931640625,72.46634548952974,49.38999938964844,95.69450378417969,150.931516303683,56.95677112896728,6.010040281790685,3244.909912109375,71.64270418623039,48.040000915527344,94.60199737548828,148.71013667343422,53.991897295859346,5.876301509096684,3232.429931640625,72.2110641639823,49.349998474121094,95.2249984741211,150.60067989425875,54.01140348533804,5.921295338837738,3241.860107421875,108872000,58061400,80898000,21634100,49908200,314856000,3435910000
2020-01-08,73.01785278320312,47.83000183105469,94.59850311279297,151.32855224609375,56.09851837158203,5.9754862785339355,3253.050048828125,73.31889277543256,48.29999923706055,95.55000305175781,151.9997015405678,56.94701716635224,6.016751479720285,3267.070068359375,71.56563615467269,47.13999938964844,94.3219985961914,149.3056712613287,55.649887167029995,5.920051929536978,3236.669921875,71.56563615467269,47.849998474121094,94.9020004272461,150.23203354534573,56.65443175992375,5.960073940201328,3238.590087890625,132079200,53767000,70160000,27746500,29730800,277108000,3726840000
2020-01-09,74.56880187988281,48.970001220703125,95.05249786376953,153.2191162109375,55.89370346069336,6.041114807128906,3274.699951171875,74.76146451044018,49.959999084472656,95.89099884033203,153.34200617143892,57.03478754964019,6.113453158617896,3275.580078125,73.74275001069596,48.38999938964844,94.79000091552734,152.21713032172246,55.084213404767034,5.987420526855702,3263.669921875,73.99320996049889,48.939998626708984,95.49449920654297,152.9827982399451,56.878741766867336,6.061747414906389,3266.030029296875,170108400,76512800,63346000,21385000,22376100,255112000,3641230000
2020-01-10,74.73735809326172,48.16999816894531,94.15799713134766,152.5101318359375,55.26952362060547,6.073429107666016,3265.35009765625,75.30091119032697,49.290000915527344,95.34700012207031,154.2872472384287,56.07901377922279,6.178580656241072,3282.989990234375,74.23643098983341,48.0,94.0,152.35888490302304,54.87941097439655,6.059259958542958,3260.860107421875,74.80238740809561,49.2599983215332,95.26850128173828,153.909144329844,56.04975635387411,6.148253347803174,3281.81005859375,140644800,44133700,57074000,20725900,19122800,316296000,3214580000
2020-01-13,76.3340835571289,48.75,94.56500244140625,154.343994140625,56.03025817871094,6.263845443725586,3288.1298828125,76.36057889021191,48.86000061035156,94.9000015258789,154.37235114362988,56.35210106486276,6.288952489506994,3288.1298828125,74.93485068528152,48.2400016784668,94.04000091552734,152.43454087063708,55.454838501844655,6.133835297475145,3268.429931640625,75.05286332420356,48.65999984741211,94.56549835205078,152.90717681899122,55.6011293699406,6.156456910250187,3271.1298828125,121532000,34266800,55616000,21626500,16163000,319840000,3459390000
2020-01-14,75.3033447265625,48.209999084472656,93.47200012207031,153.25694274902344,56.09851837158203,6.14700984954834,3283.14990234375,76.48101668324267,49.040000915527344,94.35549926757812,154.64649364113086,56.85924117238116,6.2464437516511,3294.25,75.18052540962947,47.90999984741211,92.92749786376953,152.86937779572435,55.064712633747725,6.133834495989312,3277.18994140625,76.27149402827726,48.63999938964844,94.29399871826172,154.44798018924195,56.37159758819192,6.221087786571581,3285.35009765625,161954400,38563200,68818000,23477400,26454300,359088000,3687620000
2020-01-15,74.98060607910156,48.54999923706055,93.10099792480469,154.2494354248047,54.78187561035156,6.104501724243164,3289.2900390625,75.98246770801262,49.08000183105469,93.94300079345703,154.9678511775123,55.70839911616612,6.1820603134908225,3298.659912109375,74.54951490172726,48.119998931884766,92.75450134277344,153.6728335108503,54.46003279616131,6.0786488611606115,3280.68994140625,75.10343270524221,48.22999954223633,93.61250305175781,153.72008555883195,55.62062312676421,6.1596876252794495,3282.27001953125,121923600,40199900,57932000,21417900,21638600,263104000,3721490000
2020-01-16,75.91984558105469,49.77000045776367,93.89700317382812,157.0758056640625,56.25456237792969,6.1880269050598145,3316.81005859375,76.03063354644571,50.310001373291016,94.27950286865234,157.1419816102334,56.410608171082984,6.193992987350218,3317.110107421875,75.16122656820497,48.9900016784668,93.3010025024414,155.05292468702913,55.35729627697933,6.134581087056249,3302.820068359375,75.52247441714353,49.16999816894531,94.14949798583984,155.35541857174925,55.39630865537395,6.1579480451360356,3302.969970703125,108829200,58898900,53190000,23865400,22732700,284192000,3540580000
2020-01-17,76.76036834716797,50.93000030517578,93.23600006103516,157.95497131347656,56.23505401611328,6.196728229522705,3329.6201171875,76.76277166888072,51.04999923706055,94.33200073242188,158.30471736965129,56.68368518904318,6.214626478954624,3329.8798828125,75.86206254796348,49.900001525878906,92.86250305175781,156.37635423726,55.601115913180784,6.149248487016599,3318.860107421875,76.16791647174253,50.20000076293945,94.29450225830078,158.2574508806178,56.58615796724974,6.207168756490065,3323.659912109375,137816400,57722500,79946000,34371700,20549200,253792000,3726220000
2020-01-21,76.24015808105469,51.04999923706055,94.5999984741211,157.38771057128906,57.5126838684082,6.163417339324951,3320.7900390625,76.83019183971173,51.810001373291016,94.7135009765625,158.98522177316786,57.717493275020374,6.196976374999237,3329.7900390625,76.1028821310267,50.70000076293945,93.0,157.32153464046618,55.85469498539859,6.129360932560053,3316.610107421875,76.38947268651397,50.959999084472656,93.25,157.55785252420685,55.952222211282894,6.160185612581765,3321.030029296875,110843200,49095000,74156000,29517200,24821700,217916000,4104840000
2020-01-22,76.5123062133789,51.43000030517578,94.37300109863281,156.63153076171875,57.70773696899414,6.217360973358154,3321.75,77.06380603496487,51.880001068115234,95.125,158.3235753219564,58.76104884192311,6.303868469663997,3337.77001953125,76.4183782339569,51.20000076293945,94.16699981689453,156.61262128751815,57.3956453889615,6.189768016004906,3320.0400390625,76.72423213565071,51.630001068115234,94.80449676513672,158.2384898999051,58.04908969244709,6.208660534025002,3330.02001953125,101832400,40772200,64326000,24138800,22604400,239240000,3623780000
2020-01-23,76.88076782226562,51.709999084472656,94.22899627685547,157.59573364257812,57.737003326416016,6.285721302032471,3325.5400390625,76.96023911310208,51.75,94.4990005493164,157.6713571260564,59.063394521548446,6.294173292221765,3326.8798828125,76.01858552983758,50.7400016784668,93.63800048828125,156.22509226083278,57.57120256681175,6.168638052545545,3301.8701171875,76.56527863051073,51.34000015258789,94.25550079345703,157.09474068527607,58.8390789106695,6.25738300125643,3315.77001953125,104472000,40135400,49692000,19680800,26146100,244516000,3766710000
2020-01-24,76.65923309326172,50.349998474121094,93.08200073242188,156.0076446533203,56.33258056640625,6.226558208465576,3295.469970703125,77.86820708363678,52.810001373291016,94.74949645996094,158.3613765241698,58.53673146874433,6.450782022304533,3333.179931640625,76.46897375596369,49.470001220703125,92.37200164794922,155.44993777757642,55.82543455461562,6.172366566956607,3281.530029296875,77.12644775977525,52.279998779296875,94.56849670410156,158.3424670503659,58.517225280533154,6.40106482430508,3333.10009765625,146537600,80004900,75324000,24918100,28555300,373512000,3708780000
